game_id,date,home_team,away_team,home_score,away_score,neutral_site,conference_game,home_conference,away_conference,spread_home,spread_away,num_bookmakers,commence_time,date_diff_hours,actual_margin,margin_vs_spread,home_covered,away_covered
209814,2025-11-08 00:00:00+00:00,notre dame,detroit mercy,102,70,False,False,ACC,Horizon,-20.5,20.5,9,2025-11-08 00:00:00+00:00,0.0,32,11.5,1.0,0.0
212916,2025-11-08 00:00:00+00:00,kentucky,valparaiso,107,59,False,False,SEC,MVC,-33.5,33.5,9,2025-11-08 00:00:00+00:00,0.0,48,14.5,1.0,0.0
212925,2025-11-08 00:00:00+00:00,iona,hofstra,81,73,False,False,MAAC,CAA,1.5,-1.5,8,2025-11-08 00:00:00+00:00,0.0,8,9.5,1.0,0.0
209824,2025-11-08 00:00:00+00:00,brown,siena,46,62,False,False,Ivy,MAAC,1.5,-1.5,8,2025-11-08 00:00:00+00:00,0.0,-16,-14.5,0.0,1.0
212918,2025-11-08 00:00:00+00:00,charlotte,tennessee tech,70,65,False,False,American,OVC,-11.75,11.75,8,2025-11-08 00:00:00+00:00,0.0,5,-6.75,0.0,1.0
212902,2025-11-08 00:00:00+00:00,furman,troy,61,64,False,False,SoCon,Sun Belt,-2.5,2.5,7,2025-11-08 00:00:00+00:00,0.0,-3,-5.5,0.0,1.0
212928,2025-11-08 00:00:00+00:00,kent state,cornell,110,102,False,False,MAC,Ivy,-5.5,5.5,8,2025-11-08 00:00:00+00:00,0.0,8,2.5,1.0,0.0
212907,2025-11-08 00:00:00+00:00,iowa,western illinois,77,58,False,False,Big Ten,OVC,-29.5,29.5,7,2025-11-08 00:00:00+00:00,0.0,19,-10.5,0.0,1.0
209816,2025-11-08 00:00:00+00:00,duquesne,sacred heart,92,80,False,False,A-10,MAAC,-10.5,10.5,7,2025-11-08 00:00:00+00:00,0.0,12,1.5,1.0,0.0
209811,2025-11-08 00:00:00+00:00,pittsburgh,longwood,78,60,False,False,ACC,Big South,-17.0,17.0,5,2025-11-08 00:00:00+00:00,0.0,18,1.0,1.0,0.0
209810,2025-11-08 00:00:00+00:00,virginia,north carolina central,81,62,False,False,ACC,MEAC,-32.5,32.5,6,2025-11-08 00:00:18+00:00,0.005,19,-13.5,0.0,1.0
209812,2025-11-08 00:00:00+00:00,north carolina,kansas,87,74,False,False,ACC,Big 12,-1.5,1.5,26,2025-11-08 00:00:00+00:00,0.0,13,11.5,1.0,0.0
209818,2025-11-08 00:30:00+00:00,uconn,umass lowell,110,47,False,False,Big East,Am. East,-33.5,33.5,5,2025-11-08 00:30:00+00:00,0.0,63,29.5,1.0,0.0
215301,2025-11-08 00:30:00+00:00,ole miss,ul monroe,86,65,False,False,SEC,Sun Belt,-35.5,35.5,8,2025-11-08 00:30:00+00:00,0.0,21,-14.5,0.0,1.0
212919,2025-11-08 00:30:00+00:00,georgia tech,bryant,74,45,False,False,ACC,Am. East,-16.5,16.5,4,2025-11-08 00:30:00+00:00,0.0,29,12.5,1.0,0.0
212894,2025-11-08 00:30:00+00:00,seton hall,wagner,68,61,False,False,Big East,NEC,-23.25,23.25,4,2025-11-08 00:30:00+00:00,0.0,7,-16.25,0.0,1.0
212914,2025-11-08 01:00:00+00:00,utah state,vcu,80,77,True,False,Mountain West,A-10,3.5,-3.5,7,2025-11-08 01:00:00+00:00,0.0,3,6.5,1.0,0.0
212920,2025-11-08 01:00:00+00:00,texas tech,sam houston,98,77,False,False,Big 12,CUSA,-27.5,27.5,7,2025-11-08 01:00:00+00:00,0.0,21,-6.5,0.0,1.0
212901,2025-11-08 01:00:00+00:00,depaul,stonehill,72,64,False,False,Big East,NEC,-22.25,22.25,4,2025-11-08 01:00:00+00:00,0.0,8,-14.25,0.0,1.0
212910,2025-11-08 01:30:00+00:00,southern indiana,vmi,74,78,False,False,OVC,SoCon,1.5,-1.5,7,2025-11-08 01:30:00+00:00,0.0,-4,-2.5,0.0,1.0
209820,2025-11-08 01:30:00+00:00,louisiana,se louisiana,58,52,False,False,Sun Belt,Southland,-3.5,3.5,4,2025-11-08 01:30:00+00:00,0.0,6,2.5,1.0,0.0
212927,2025-11-08 01:30:00+00:00,illinois,florida gulf coast,113,70,False,False,Big Ten,ASUN,-27.5,27.5,5,2025-11-08 01:30:00+00:00,0.0,43,15.5,1.0,0.0
212911,2025-11-08 01:30:00+00:00,wisconsin,northern illinois,97,72,False,False,Big Ten,MAC,-27.5,27.5,6,2025-11-08 01:30:00+00:00,0.0,25,-2.5,0.0,1.0
212906,2025-11-08 02:00:00+00:00,arizona,utah tech,93,67,False,False,Big 12,WAC,-31.5,31.5,7,2025-11-08 02:00:00+00:00,0.0,26,-5.5,0.0,1.0
212908,2025-11-08 02:00:00+00:00,san diego,idaho state,68,71,False,False,WCC,Big Sky,-5.5,5.5,7,2025-11-08 02:00:00+00:00,0.0,-3,-8.5,0.0,1.0
209826,2025-11-08 02:00:00+00:00,navy,yale,68,97,False,False,Patriot,Ivy,6.75,-6.75,4,2025-11-08 01:30:00+00:00,0.5,-29,-22.25,0.0,1.0
212896,2025-11-08 03:00:00+00:00,oregon,rice,67,63,False,False,Big Ten,American,-15.0,15.0,7,2025-11-08 03:00:00+00:00,0.0,4,-11.0,0.0,1.0
212938,2025-11-08 03:00:00+00:00,santa clara,mcneese,79,67,False,False,WCC,Southland,-4.5,4.5,5,2025-11-08 03:00:00+00:00,0.0,12,7.5,1.0,0.0
209815,2025-11-08 03:30:00+00:00,ucla,pepperdine,74,63,False,False,Big Ten,WCC,-27.5,27.5,7,2025-11-08 03:30:00+00:00,0.0,11,-16.5,0.0,1.0
212976,2025-11-08 17:00:00+00:00,akron,princeton,104,69,False,False,MAC,Ivy,-10.75,10.75,10,2025-11-08 17:00:00+00:00,0.0,35,24.25,1.0,0.0
212940,2025-11-08 18:00:00+00:00,new haven,penn state,43,87,False,False,NEC,Big Ten,16.0,-16.0,5,2025-11-08 18:00:00+00:00,0.0,-44,-28.0,0.0,1.0
