team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Monmouth,103.95,106.48,0.431473,66.76,-2.52,49.0,49.8,16.7,19.9,31.2,33.2,34.3,31.8,-8.4,0,2026-02-14
Southern,104.5,112.02,0.310243,69.82,-7.52,48.0,54.2,17.0,19.0,31.8,32.5,39.6,44.6,-7.679,0,2026-02-14
Southern Miss,102.57,109.17,0.327869,68.25,-6.61,48.5,52.5,18.5,17.5,31.1,27.7,43.6,41.7,-10.055,0,2026-02-14
California,113.75,102.27,0.772759,67.43,11.48,52.8,49.0,15.2,15.7,25.7,30.5,39.0,36.1,-0.178,0,2026-02-14
Georgia St.,101.09,110.27,0.268972,68.02,-9.18,44.8,50.5,16.5,16.9,27.5,33.3,37.4,34.4,-13.143,0,2026-02-14
Miami FL,118.12,100.84,0.860442,69.15,17.28,56.4,49.8,16.2,18.6,36.6,25.6,39.4,30.5,1.526,0,2026-02-14
Georgia,119.79,101.68,0.868203,73.59,18.11,53.3,48.1,14.5,19.5,36.0,35.4,38.3,29.3,1.399,0,2026-02-14
North Dakota,106.81,116.32,0.272825,67.3,-9.5,49.1,56.9,13.9,19.8,28.8,32.3,37.5,45.4,-8.568,0,2026-02-14
Princeton,103.79,110.42,0.329118,63.95,-6.63,48.9,51.8,16.5,14.4,27.3,28.7,34.4,33.3,-11.793,0,2026-02-14
Saint Louis,122.35,98.12,0.926758,71.69,24.23,61.1,42.7,16.8,16.1,32.6,25.9,34.3,36.7,3.353,0,2026-02-14
Arizona St.,116.9,104.88,0.776939,69.36,12.02,51.5,53.2,16.0,19.1,30.5,34.2,40.7,35.4,-1.823,0,2026-02-14
Purdue Fort Wayne,104.66,112.97,0.293411,67.71,-8.31,52.4,56.3,14.5,19.7,22.2,36.0,28.1,28.9,-7.045,0,2026-02-14
Iona,102.8,109.47,0.326808,69.55,-6.67,51.7,49.4,16.6,17.2,26.2,32.7,28.5,28.0,-7.958,0,2026-02-14
Stetson,102.22,117.16,0.172349,67.17,-14.94,51.0,55.9,18.4,15.3,26.5,32.0,34.4,30.3,-12.791,0,2026-02-14
Marshall,109.94,111.22,0.466782,69.17,-1.28,54.2,48.9,17.4,16.9,33.0,32.9,29.4,40.1,-5.309,0,2026-02-14
Eastern Michigan,103.72,107.28,0.404054,66.11,-3.56,50.0,50.4,17.4,16.4,28.8,29.2,29.5,35.2,-10.582,0,2026-02-14
Niagara,97.72,116.14,0.120742,62.08,-18.42,49.8,52.9,18.6,16.7,24.5,32.6,25.2,34.2,-15.762,0,2026-02-14
Campbell,110.49,112.86,0.43941,70.62,-2.37,50.5,56.0,18.2,17.3,32.6,31.2,45.1,37.5,-7.151,0,2026-02-14
Mercer,110.42,111.42,0.474148,69.77,-1.0,51.6,52.8,15.2,17.4,33.8,32.2,37.6,29.3,-5.736,0,2026-02-14
Lindenwood,102.26,109.41,0.314884,72.72,-7.15,49.0,49.9,19.3,18.8,33.7,32.4,39.0,35.5,-6.322,0,2026-02-14
St. Bonaventure,112.83,113.41,0.485215,66.78,-0.58,52.8,53.9,17.0,18.2,34.9,30.3,29.3,34.1,-5.391,0,2026-02-14
Oregon St.,109.58,109.34,0.50611,65.08,0.23,50.5,50.1,17.6,15.4,25.8,32.8,44.6,36.0,-6.831,0,2026-02-14
Lipscomb,107.13,110.41,0.414363,69.82,-3.27,54.0,52.8,16.2,18.0,25.9,30.3,27.0,30.2,-5.367,0,2026-02-14
Kennesaw St.,109.04,109.96,0.475846,72.11,-0.92,49.8,48.5,17.1,15.6,36.2,30.7,44.6,47.3,-6.513,0,2026-02-14
James Madison,108.39,114.18,0.35468,65.49,-5.79,52.8,50.0,17.7,13.0,30.7,30.7,35.5,41.8,-8.977,0,2026-02-14
Georgetown,113.6,103.39,0.747137,66.54,10.21,49.4,49.5,14.7,16.3,32.5,30.8,39.7,35.2,-2.93,0,2026-02-14
USC Upstate,99.55,111.82,0.207967,68.02,-12.28,48.5,51.2,17.8,16.1,28.5,32.2,35.0,36.7,-10.854,0,2026-02-14
Morgan St.,98.68,121.95,0.080612,70.27,-23.26,45.7,53.9,18.5,16.8,30.1,34.5,42.6,54.9,-10.402,0,2026-02-14
New Hampshire,98.32,112.53,0.174831,67.49,-14.2,46.9,52.0,16.9,16.0,25.6,28.7,29.1,37.9,-10.697,0,2026-02-14
Iowa St.,123.68,93.5,0.961451,67.91,30.18,58.3,48.5,16.0,22.4,37.6,28.3,35.4,26.8,5.114,0,2026-02-14
Alcorn St.,99.97,118.84,0.120505,68.13,-18.86,48.8,57.7,20.4,18.2,27.6,37.1,26.5,40.5,-12.403,0,2026-02-14
Purdue,128.43,96.87,0.96242,65.49,31.56,57.9,50.4,14.1,16.6,36.0,26.1,28.4,24.6,6.344,0,2026-02-14
Drake,109.37,113.67,0.39086,67.14,-4.3,51.9,52.8,14.5,14.8,26.6,29.5,34.8,34.3,-10.477,0,2026-02-14
Marquette,111.17,102.4,0.720036,69.62,8.77,50.0,51.4,16.1,19.2,30.5,34.2,33.7,32.1,-6.656,0,2026-02-14
Holy Cross,100.02,116.47,0.147967,65.1,-16.45,49.5,54.7,15.9,14.5,22.3,27.5,30.8,27.7,-13.611,0,2026-02-14
Houston,127.71,91.89,0.97782,63.05,35.83,52.6,46.2,12.3,22.6,37.3,31.6,25.4,39.0,7.023,0,2026-02-14
Hampton,100.44,110.33,0.253575,65.07,-9.89,45.9,50.9,17.7,17.6,33.6,29.8,40.6,46.6,-10.86,0,2026-02-14
Western Michigan,107.59,119.2,0.235215,67.67,-11.62,50.3,54.8,17.6,13.5,31.5,30.3,30.9,37.0,-11.739,0,2026-02-14
New Mexico St.,110.54,111.34,0.479088,66.45,-0.81,50.0,49.1,15.6,15.2,33.1,30.4,32.6,44.9,-9.558,0,2026-02-14
Ball St.,98.42,111.13,0.198278,63.61,-12.71,46.0,54.4,16.7,19.2,27.3,32.2,32.3,31.2,-12.509,0,2026-02-14
Milwaukee,104.96,114.24,0.274039,67.96,-9.28,49.5,54.9,15.3,15.9,33.4,29.9,31.8,36.1,-11.377,0,2026-02-14
Portland,105.95,106.6,0.482284,68.64,-0.66,50.8,52.7,19.5,17.8,28.5,32.5,34.4,34.1,-8.44,0,2026-02-14
Albany,101.76,116.6,0.172961,65.72,-14.83,50.1,54.0,18.2,16.2,31.5,33.6,25.8,35.6,-13.857,0,2026-02-14
Tarleton St.,103.7,105.42,0.45282,70.39,-1.72,48.5,55.0,20.1,24.3,31.4,34.3,41.2,44.8,-7.258,0,2026-02-14
San Francisco,112.66,108.73,0.600826,65.45,3.94,50.7,50.1,15.7,13.5,31.9,28.4,39.2,30.9,-5.764,0,2026-02-14
Bucknell,98.08,113.82,0.152982,66.86,-15.74,47.8,55.2,19.2,17.8,26.4,31.2,31.8,35.6,-13.926,0,2026-02-14
Connecticut,123.26,92.73,0.963481,64.92,30.53,56.3,44.8,16.5,18.7,35.3,28.9,30.6,41.0,8.112,0,2026-02-14
New Haven,94.63,113.13,0.11377,63.29,-18.49,48.4,52.7,19.1,17.1,22.1,27.9,29.7,28.2,-11.25,0,2026-02-14
Southern Indiana,93.0,110.84,0.117322,68.16,-17.84,43.4,48.5,17.8,16.8,30.2,33.8,36.4,37.5,-17.714,0,2026-02-14
Florida Gulf Coast,106.12,112.51,0.337908,68.22,-6.39,52.8,53.4,16.8,16.4,31.4,29.8,31.0,40.7,-10.928,0,2026-02-14
San Jose St.,108.02,113.56,0.360063,64.27,-5.54,47.7,56.8,16.5,17.8,29.7,36.1,32.7,34.3,-10.552,0,2026-02-14
Utah Valley,112.64,103.97,0.715275,69.26,8.67,55.8,49.5,21.1,21.3,35.0,31.3,36.2,38.6,-2.867,0,2026-02-14
Missouri,118.51,103.24,0.830187,66.62,15.28,55.8,50.1,18.0,16.5,36.7,30.1,41.2,35.6,1.443,0,2026-02-14
Cincinnati,109.41,92.44,0.874112,68.27,16.97,49.8,47.8,17.7,18.8,30.5,26.2,30.4,29.8,-2.722,0,2026-02-14
South Dakota St.,106.17,110.56,0.385763,67.52,-4.38,51.8,51.4,16.2,15.2,29.0,26.8,30.6,33.7,-10.586,0,2026-02-14
Boston University,109.71,120.6,0.251847,63.57,-10.89,56.8,55.0,17.8,13.4,27.4,27.0,33.5,32.0,-12.378,0,2026-02-14
Air Force,95.24,112.55,0.127818,65.8,-17.31,49.5,55.9,22.6,15.7,22.0,31.3,35.9,36.4,-14.855,0,2026-02-14
Bradley,109.62,107.97,0.543355,67.81,1.65,50.8,52.6,13.8,19.9,27.1,28.9,36.0,36.8,-4.663,0,2026-02-14
Troy,112.55,109.38,0.581597,65.8,3.18,51.9,51.4,16.5,17.6,33.4,31.3,35.1,33.2,-4.709,0,2026-02-14
Gonzaga,120.68,94.37,0.944165,69.74,26.31,56.5,46.5,13.9,20.7,36.2,24.0,31.2,32.4,5.208,0,2026-02-14
South Florida,116.7,104.78,0.77554,71.75,11.93,51.5,49.4,15.7,18.3,38.0,32.3,43.8,40.3,-2.083,0,2026-02-14
Stonehill,90.72,108.42,0.114106,65.64,-17.7,46.6,49.0,21.1,13.0,28.7,26.2,26.3,30.2,-13.723,0,2026-02-14
Loyola MD,101.99,117.71,0.161224,68.28,-15.73,50.4,54.4,16.8,16.1,27.9,29.9,30.5,31.5,-13.367,0,2026-02-14
Belmont,120.17,108.36,0.766602,69.06,11.81,61.1,49.0,18.7,17.6,29.4,29.8,34.0,30.3,0.252,0,2026-02-14
Siena,107.0,110.46,0.409512,64.75,-3.46,51.3,50.2,15.8,18.1,32.7,28.7,32.0,27.9,-6.589,0,2026-02-14
Southern Utah,102.86,112.14,0.270234,70.34,-9.28,49.4,53.7,20.2,14.9,27.6,34.4,30.8,27.1,-11.71,0,2026-02-14
N.C. State,122.49,100.23,0.909453,69.59,22.26,56.6,51.7,13.5,19.1,27.6,28.1,35.1,37.3,2.16,0,2026-02-14
Pittsburgh,111.53,105.47,0.655259,64.0,6.06,50.3,53.1,17.4,16.8,34.2,28.4,30.3,33.2,-6.713,0,2026-02-14
Furman,105.08,107.15,0.444301,66.11,-2.07,54.4,49.3,18.6,13.9,30.8,28.7,30.5,27.6,-7.298,0,2026-02-14
Massachusetts,109.73,109.73,0.500243,70.77,0.01,53.3,52.7,18.0,17.8,32.8,26.6,38.1,45.8,-7.71,0,2026-02-14
