today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-10-22,2025-10-16,5m,L25,25067.0,2025-10-22 10:43:00-04:00,10,25081.25,25060.75,110.5,-78.25,False
2025-10-22,2025-10-16,5m,L50,25086.5,2025-10-22 10:32:00-04:00,10,25106.5,25039.75,85.25,-103.5,True
2025-10-22,2025-10-16,5m,L75,25106.0,2025-10-22 10:30:00-04:00,10,25110.0,25013.25,81.75,-106.75,True
2025-10-22,2025-10-16,5m,L100,25125.5,2025-10-22 10:29:00-04:00,10,25125.25,25028.0,66.5,-102.25,True
2025-10-22,2025-10-17,1h,L75,24835.5625,2025-10-22 13:41:00-04:00,13,24834.0,24923.0,107.5,-28.75,False
2025-10-22,2025-10-17,1h,L100,24890.0,2025-10-22 12:32:00-04:00,12,24879.75,24898.25,157.25,-13.5,False
2025-10-22,2025-10-20,1h,L0,25114.75,2025-10-22 10:29:00-04:00,10,25125.25,25028.0,66.5,-102.25,False
2025-10-22,2025-10-20,1h,L25,25145.9375,2025-10-22 10:27:00-04:00,10,25151.0,25049.25,40.75,-123.5,False
2025-10-22,2025-10-20,1h,L50,25177.125,2025-10-22 10:26:00-04:00,10,25177.0,25056.25,26.0,-149.5,True
2025-10-22,2025-10-20,1h,L75,25208.3125,2025-10-22 10:14:00-04:00,10,25211.5,25141.75,33.5,-161.0,True
2025-10-22,2025-10-20,1h,L100,25239.5,2025-10-22 10:02:00-04:00,10,25253.25,25174.5,24.75,-202.75,True
2025-10-22,2025-10-20,5m,L0,25181.25,2025-10-22 10:26:00-04:00,10,25177.0,25056.25,26.0,-149.5,False
2025-10-22,2025-10-20,5m,L25,25193.9375,2025-10-22 10:15:00-04:00,10,25215.75,25144.75,29.25,-165.25,False
2025-10-22,2025-10-20,5m,L50,25206.625,2025-10-22 10:14:00-04:00,10,25211.5,25141.75,33.5,-161.0,True
2025-10-22,2025-10-20,5m,L75,25219.3125,2025-10-22 10:13:00-04:00,10,25223.75,25144.5,21.25,-173.25,True
2025-10-22,2025-10-20,5m,L100,25232.0,2025-10-22 10:12:00-04:00,10,25240.75,25129.75,4.25,-190.25,True
2025-10-22,2025-10-21,1h,L0,25213.75,2025-10-22 10:13:00-04:00,10,25223.75,25144.5,21.25,-173.25,False
2025-10-22,2025-10-21,1h,L25,25236.8125,2025-10-22 10:02:00-04:00,10,25253.25,25174.5,24.75,-202.75,False
2025-10-22,2025-10-21,1h,L50,25259.875,2025-10-22 10:00:00-04:00,10,25269.75,25175.0,11.25,-219.25,True
2025-10-22,2025-10-21,1h,L75,25282.9375,2025-10-22 10:01:00-04:00,10,25272.5,25186.5,8.5,-222.0,True
2025-10-22,2025-10-21,5m,L0,25219.25,2025-10-22 10:13:00-04:00,10,25223.75,25144.5,21.25,-173.25,False
2025-10-22,2025-10-21,5m,L25,25230.0,2025-10-22 10:12:00-04:00,10,25240.75,25129.75,4.25,-190.25,False
